Issue_Level_1_客訴故障現象,正規化,Issue_Level_2_分析看到現象,Issue_Level_2_分析看到現象_正規化,Issue_Level_7_損壞原因,Issue_Level_7_損壞原因_正規化
"C20低阻抗,2kohm,DSP材料問題","C20低阻抗,2kohm,DSP材料問題","R254,R255電阻過熱","R254,R255電阻過熱",DC9反件,DC9反件
"C20低阻抗,3.5kohm,DSP材料問題","C20低阻抗,3.5kohm,DSP材料問題",R260  BOM錯建爲0Ω,R260 BOM錯建爲0Ω,DC9插反,DC9插反
"C20阻抗,在顯示正常的狀態下阻抗是M歐,在無顯示的狀態下為6k歐左右","C20阻抗,在顯示正常的狀態下阻抗是M歐,在無顯示的狀態下為6k歐左右",R260 BOM錯建爲0Ω,R260 BOM錯建爲0Ω,DCBUS電容鼓包，整流子擊穿,"DCBUS鼓包,整流子擊穿"
C20阻抗值异常,C20阻抗值异常,R260重工不良,R260重工不良,DD21和DD13之間有一塊錫渣，IGBT V相PIN脚周圍熏黑，IGBT控制側損壞,"DD21,DD13之間有一塊錫渣,IGBT V相PIN脚周圍熏黑,IGBT控制側損壞"
"C20阻抗偏低,量測C20:3Kohm,正常為Mohm","C20阻抗偏低,量測C20:3Kohm,正常為Mohm","R58跨壓在0.7V,此電壓已經觸發OC,說明上橋存在偷開","R58跨壓在0.7V,此電壓已經觸發OC,說明上橋存在偷開",DD22 RSPIN燒斷,DD22 RSPIN燒斷
C21阻抗异常,C21阻抗异常,read only,read only,DD22 擊穿，對應的RS銅箔燒斷,"DD22 擊穿,對應的RS銅箔燒斷"
canopen通訊正常,canOPEN通訊正常,relay不切,relay不切,"DD22,DD23,DQ2擊穿","DD22,DD23,DQ2擊穿"
CASE外力損壞,CASE外力損壞,RL001報警,AL001,"DD22,DD23擊穿","DD22,DD23擊穿"
"case外力損壞,伺服功能正常","CASE外力損壞,伺服功能正常",RL003,AL003,"DD22，DD23擊穿,","DD22,DD23擊穿"
case使用錯料,CASE混料,RL083,AL083,"DD22,DD23擊穿，IGBT炸","DD22,DD23擊穿,IGBT炸裂"
CASE混料,CASE混料,RN擊穿,RN擊穿,DD22、23擊穿,"DD22,DD23擊穿"
case錯料,CASE混料,RS&RT上電SERVO ON報警AL022-重組後正常,RS&RT上電SERVO ON報警AL022-重組後正常,DD22、DD23擊穿，DC82鼓包,"DD22,DD23擊穿,DC82鼓包"
CN1 PIN腳燒碳化,CN1 PIN腳燒碳化,RST阻值异常,RST阻值異常,DD22、DD23擊穿，IGBT U對P擊穿,"DD22,DD23擊穿,IGBT U對P擊穿"
"CN1,CN6端子粘膠","CN1,CN6端子粘膠","RST對P,N特徵正常,輸出端子P對N阻抗30.1Ω","RST對P,N特徵正常,輸出端子P對N阻抗30.1Ω",DD22、DQ2、IGBT擊穿，剎車晶體和P點有打火，Relay 損壞,"DD22,DQ2,IGBT擊穿,剎車晶體和P點有打火,Relay 損壞"
CN1口收不到模擬量信號,CN1口收不到模擬量信號,RST輸入端銅箔翹皮,RST輸入端銅箔翹皮,DD22/DD23/DC84損壞,"DD22,DD23,DC84損壞"
CN1口控制不良,CN1口控制不良,RS相端子螺絲損壞,RS_螺絲損壞,DD22打火，S相銅箔燒斷線,"DD22打火,S相銅箔燒斷線"
CN1不良,CN1不良,"RS相銅箔斷,DD22擊穿","RS相銅箔斷,DD22擊穿",DD22炸，DD23擊穿,"DD22炸裂,DD23擊穿"
CN1反饋無信號,CN1反饋無信號,RS接綫輸入電壓過低,RS接綫輸入電壓過低,DD22短路，DD23脚位熔斷,"DD22 SHORT,DD23脚位熔斷"
"CN1有問題,給脉衝不走","CN1有問題,給脉衝不走","RS通道銅箔翹起,整流子DD22擊穿","RS通道銅箔翹起,整流子DD22擊穿",DD22擊穿,DD22擊穿
"CN1刹車引脚輸出异常,電機刹車無法打開。","CN1刹車引脚輸出异常,電機刹車無法打開","RT,L1L2上電使能後報AL022","RT,L1L2上電使能後報AL022",DD22擊穿，IGBT P腳熔斷，本體炸裂，DU5有發熱痕跡，5VD_GD短路，DPH16、DPH7、DPH8、DPH9均損壞,"DD22擊穿,IGBT P腳熔斷,本體炸裂裂,DU5有發熱痕跡,5VD_GD SHORT,DPH16,DPH7,DPH8,DPH9均損壞"
"CN1刹車引脚輸出异常,電機刹車無法打開。,二次報修","CN1刹車引脚輸出异常,電機刹車無法打開,二次報修",RT相銅箔被燒斷,RT相銅箔被燒斷,DD22擊穿，IGBT U對P擊穿,"DD22擊穿,IGBT U對P擊穿"
CN1的DO1損壞,CN1的DO1損壞,"RT銅箔熔斷,DD22擊穿,DQ2剎車晶體燒壞","RT銅箔熔斷,DD22擊穿,DQ2剎車晶體燒壞",DD22擊穿，IGBT炸,"DD22擊穿,IGBT炸裂"
CN1針脚壞,CN1針脚壞,R口滑牙,R端子_螺絲滑牙,DD22擊穿，有污染腐蝕,"DD22擊穿,有污染腐蝕"
"CN1問題,DO","CN1問題,DO",R位螺絲滑牙,R端子_螺絲滑牙,DD22擊穿，銅箔燒斷，IGBT炸,"DD22擊穿,銅箔燒斷,IGBT炸裂"
CN1接頭接觸不良,CN1接頭接觸不良,R相欠相,R欠,DD22擊穿，銅箔燒斷，IGBT炸，DR42燒毀,"DD22擊穿,銅箔燒斷,IGBT炸裂,DR42燒毀"
CN1控制不良,CN1控制不良,R相對N擊穿,R對N擊穿,DD23，DD22擊穿,"DD23,DD22擊穿"
CN1端子螺絲丟失,CN1端子螺絲丟失,"R相端子牙紋損壞,螺絲退不出來","R端子_牙紋損壞,螺絲退不出來",DD23溢錫,DD23溢錫
CN2夾線頭皮,CN2夾線頭皮,R相端子螺絲卡死,R端子_螺絲卡死,DD23擊穿,DD23擊穿
CN2接口不良,CN2接口異常,R相端子螺絲卡頓,R端子_螺絲卡頓,DI8輸入限流電阻R224燒壞，DGND-AGND之間的電阻R222燒壞，電源系統全部擊穿,"DI8輸入限流電阻R224燒毀,DGND-AGND之間的電阻R222燒毀,電源系統全部擊穿"
CN2接口沒扣,CN2接口異常,R相端子螺絲損壞,R端子_螺絲損壞,DJ1 30脚沒有插入端子,DJ1 30脚沒有插入端子
CN2接口歪,CN2接口異常,"R相端子螺絲損壞,MODE鍵掉落","R端子_螺絲損壞,MODE鍵掉落",DJ1 PIN22對PIN24短路,DJ1 PIN22對PIN24SHORT
CN2接口斜,CN2接口異常,"R相端子螺絲損壞,MODE鍵掉落,端子蓋一端脫落","R端子_螺絲損壞,MODE鍵掉落,端子蓋一端脫落",DJ1 PIN腳粘膠,DJ1 PIN腳粘膠
CN2接口插不緊,CN2接口異常,R相端子螺絲滑牙,R端子_螺絲滑牙,DJ1和DTB1端子粘UV膠,DJ1和DTB1端子黏UV膠
CN2接口開裂,CN2接口開裂,"R相端子螺絲滑牙,無法進退","R端子_螺絲滑牙,無法進退",DJ1沾UV膠,DJ1沾UV膠導
CN2接口損壞,CN2接口開裂,R相端子壞,R端子_螺絲損壞,DJ1沾UV膠導,DJ1沾UV膠導
CN2接口壞,CN2接口開裂,"R相銅箔熔斷,整流子DD22擊穿","R相銅箔熔斷,整流子DD22擊穿",DJ1接觸不良,DJ1接觸不良
CN2接口壞了,CN2接口開裂,"R相輸入端到Varistor的銅箔翹皮,整流子DD22、DD23擊穿,軟起電阻DR28燒,IGBT炸","R相輸入端到Varistor的銅箔翹皮,整流子DD22、DD23擊穿,軟起電阻DR28燒,IGBT炸",DJ1端子粘膠,DJ1端子黏膠
CN2接口變形,CN2接口開裂,"R相輸入端到Varistor的銅箔翹皮,整流子DD22擊穿,DR42炸,IGBT炸","R相輸入端到Varistor的銅箔翹皮,整流子DD22擊穿,DR42炸,IGBT炸",DJ1錫短,DJ1錫短
"CN2插口不良,卡不住CN2綫",CN2異常,R相螺母磨損嚴重,R端子_螺絲損壞,DL1 PIN4無綫尾,DL1 PIN4無線尾
CN2端子高翹歪斜,CN2端子高翹歪斜,"R相螺絲傾斜,無法鎖到底,T相螺絲打滑","R相螺絲傾斜,無法鎖到底,T相螺絲打滑",DL2 PIN2 焊錫不良,DL2 PIN2 焊錫不良
CN2端子插歪,CN2端子插歪,R相螺絲損壞,R端子_螺絲損壞,DMCNET通訊功能正常,DMCNET通訊功能正常
CN2端子斷落,CN2端子斷落,R相螺絲滑牙,R端子_螺絲滑牙,DO1异常,DO1異常
"CN2編碼器綫接口接觸不良,松",CN2異常,"R相螺絲滑牙,IGBT焊錫碳化","R端子_螺絲滑牙,IGBT焊錫碳化",DO1無法關斷,DO1無法關斷
CN3口不良,CN3異常,"R相螺絲滑牙,螺母正常","R端子_螺絲滑牙,螺母正常","DO2 fail,更新韌體後正常","DO2 fail,更新韌體後正常"
CN4 PIN腳被壓彎,"CN4,PIN腳被壓彎",R相螺絲滑牙無法鎖到底,R端子_螺絲滑牙,DO3測試fail,DO3測試fail
CN4USB接口無法連接,CN4USB接口無法連接,"R通道銅箔熔斷,整流子DD23擊穿,IGBT炸裂","R通道銅箔熔斷,整流子DD23擊穿,IGBT炸裂",DO功能正常，帶馬達運轉正常,"DO功能正常,帶馬達運轉正常"
CN4口母PIN位置偏移,CN4接口母PIN位置偏移,R通道螺絲滑牙,R端子_螺絲滑牙,DO無輸出,DO無輸出
CN4口退PIN,CN4接口退PIN,R項螺絲滑牙,R端子_螺絲滑牙,DPH14焊錫不良,DPH14焊錫不良
CN4口損壞,CN4接口損壞,R滑絲,R端子_螺絲滑牙,DPH16吃錫不良,DPH16焊錫不良
CN4不能下載參數,CN4不能下載參數,"R對P短路,ST對N短路","R對P SHORT,ST對N SHORT",DPH16焊接不良,DPH16焊錫不良
"CN4不能用,參數設置异常","CN4不能用,參數設置异常","R對一段短路,通電跳閘","R對一段SHORT,通電跳閘",DPH16損壞,DPH16損壞
CN4未開口,CN4未開口,R端子滑牙,R端子_螺絲滑牙,DPH16輸出异常,DPH16輸出異常
CN4退PIN,CN4退PIN,R端子螺母滑絲,R端子_螺絲滑牙,DPH1異常,DPH1異常
CN4接口無法通訊,CN4通訊異常,R端子螺絲損壞,R端子_螺絲損壞,DPH4反向，R相欠相,"DPH4反向,R相欠相"
CN4通訊不上,CN4通訊異常,R端子螺絲滑牙,R端子_螺絲滑牙,DPH5偵測異常,DPH5偵測異常
CN4通訊不上、驅動器燒壞 、報警06,"CN4通訊異常,AL006",R端螺絲滑牙,R端子_螺絲滑牙,DPH6 PIN3-4不導通,DPH6 PIN3-4不導通
CN4插口不良,CN4接口損壞,"R銅箔炸,整流子DD22打火","R銅箔炸,整流子DD22打火",DPH7連錫,DPH7連錫
"CN4端口有异物,綫能插上,但無法連接",CN4接口損壞,R螺絲口壞,R端子_螺絲損壞,DPH9光耦PIN被劃斷,DPH9光耦PIN被劃斷
CN4與電腦無法連接,CN4通訊異常,R螺絲滑牙,R端子_螺絲滑牙,DPM1,DPM1
CN4壞,CN4異常,"R螺絲滑牙,上電報警",R端子_螺絲滑牙,DQ2打火擊穿,DQ2打火擊穿
CN6 OUT口通訊不通,CN6接口異常,R點螺絲擰不出來,R端子_螺絲滑牙,DQ2打火擊穿，回生電阻Open,"DQ2打火擊穿,回生電阻OPEN"
"CN6口异常,無法連接",CN6接口異常,servo on無效,SERVO ON無效,DQ2錫短,DQ2錫短
"CN6找不到站號,報警AL185","CN6找不到站號,AL185",SERVO ON隨機報警AL083,SERVO ON隨機報警AL083,DQ2擊穿,DQ2擊穿
CN6處字母不一樣,CN6處字母不一樣,"SET和SHIFT鍵功能一樣,無法確認","SET和SHIFT鍵功能一樣,無法確認","DQ2擊穿,軟起電阻和剎車電阻燒壞","DQ2擊穿,軟起電阻和剎車電阻燒毀"
CN6通訊不上,CN6通訊不上,SET按鍵失靈,SET按鍵失靈,"DQ2擊穿、DD22,DD23整流子擊穿","DQ2擊穿,DD22,DD23整流子擊穿"
CN6通訊不定時斷綫報警AL185,CN6通訊不定時斷綫報警AL185,"SET按鍵失靈,BSW3按壓無反應,有補焊痕迹","SET按鍵失靈,BSW3按壓無反應,有補焊痕迹",DR1 OPEN,DR1 OPEN
CN6無法通訊,CN6通訊異常,SET按鍵斷,SET按鍵損壞,DR19燒壞,DR19燒毀
CN6端口損壞,CN6接口異常,"SET按鍵斷,MODE,UP,MOWN,SHIFT按鍵皆有損傷","SET按鍵損壞,MODE,UP,MOWN,SHIFT按鍵皆有損傷",DR1開裂損壞,DR1開裂損壞
CN6網口通訊壞,CN6接口異常,set健壞,SET按鍵損壞,DR1開裂損壞，DC3短路，DD3有過熱痕跡,"DR1開裂損壞,DC3SHORT,DD3有過熱痕跡"
CN6總綫口無法通訊,CN6接口異常,"SET鍵不靈,上下鍵偶爾不靈","SET鍵不靈,上下鍵偶爾不靈",DR1開裂損壞，DD1擊穿,"DR1開裂損壞,DD1擊穿"
CND,CND,SET鍵受外力撞斷,SET鍵受外力撞斷,DR1開裂損壞，DD1擊穿，DT1和DR4打火，量測線圈正常，DU2過熱損壞，IGBT PIN腳之間和導熱rubber上粘有異物,"DR1開裂損壞,DD1擊穿,DT1和DR4打火,量測線圈正常,DU2過熱損壞,IGBT PIN腳之間和導熱rubber上粘有異物"
CND-AL001,CND-AL001,SET鍵和SHIFT鍵功能一樣,SET鍵和SHIFT鍵聯動,DR1開裂損壞，污染,"DR1開裂損壞,污染"
CND-AL003,CND-AL003,SET鍵與UP鍵聯動,SET鍵和UP鍵聯動,"DR1電阻開裂open,DD1的擊穿","DR1開裂損壞OPEN,DD1擊穿"
CND-AL006,CND-AL006,set鍵斷,SET按鍵損壞,DR1燒，DD1擊穿，DC3微鼓包,"DR1燒毀,DD1擊穿,DC鼓包"
CND-AL083,CND-AL083,"shift 鍵失靈,BSW2按壓無反應,有補焊痕迹","SHIFT鍵失靈,BSW2按壓無反應,有補焊痕迹",DR1燒壞，DC3短路，上電端子RS相有打火痕迹,"DR1燒毀,DC3SHORT,上電端子RS相有打火痕迹"
CND-AL1200,CND-AL1200,SHIFT、SET、UP、DOWN按鍵損壞,"SHIFT按鍵損壞,SET按鍵損壞,UP按鍵損壞,DOWN按鍵損壞",DR1燒壞，DC3微鼓包,"DR1燒毀,DC3鼓包"
CND-AL2300,CND-AL2300,shift和set按鍵外力損壞,"SHIFT按鍵損壞,SET按鍵損壞",DR1燒壞，DD1擊穿,"DR1燒毀,DD1擊穿"
CND-AL555,CND-AL555,Shift按鍵缺失,SHIFT按鍵缺失,DR27損壞,DR27損壞
CND-ALCDB,CND-ALCDB,Shift按鍵損壞,SHIFT按鍵損壞,DR28 Open,DR28 OPEN
"CND-CN4不能用,參數設置异常","CND-CN4不能用,參數設置异常","shift按鍵損壞,確認為對策前產品","SHIFT按鍵損壞,確認為對策前產品","DR28 open,外殼融化","DR28 OPEN,外殼融化"
"CND-DTB1端子打火,內部有兩處有錫絲","CND-DTB1端子打火,內部有兩處有錫絲",Shift按鍵斷,SHIFT按鍵損壞,"DR28,DC3,按鍵，上蓋，HSK，J10端子外力損壞","DR28,DC3,按鍵,上蓋,HSK,J10端子外力損壞"
CND-UVW异常,CND-UVW异常,shift按鍵斷裂損壞,SHIFT按鍵損壞,DR28外力損壞,DR28外力損壞
CND-上電無顯示,CND-上電無顯示,SHIFT鍵、上鍵損壞,"SHIFT按鍵損壞,UP按鍵損壞",DR28炸,DR28炸裂
CND-上電跳閘,CND-上電跳閘,shift鍵斷,SHIFT按鍵損壞,DR28焊錫异常,DR28焊錫異常
CND-不良,CND-不良,SHIIFT鍵與UP鍵不靈敏,SHIIFT鍵和UP鍵不靈敏,DR28軟啓焊錫不良,DR28軟啓焊錫不良
CND-加料機捅料杆總往下掉,CND-加料機捅料杆總往下掉,"SPS,DCBUS電容鼓包,整流子擊穿","SPS,DCBUS電容鼓包,整流子擊穿",DR28裂開,DR28開裂
CND-其他(DSP黑屏問題),CND-其他(DSP黑屏問題),SPS電容DC3鼓包,SPS電容DC3鼓包,DR28過熱，伺服功能正常,"DR28過熱,伺服功能正常"
CND-其他(驅動器不能設置原點),CND-其他(驅動器不能設置原點),"SPS電容DC3鼓包,BUS電容DC81鼓包","SPS電容DC3鼓包,BUS電容DC81鼓包",DR28燒,DR28燒毀
CND-接口接觸不良,CN6接口異常,SPS電容損壞,SPS電容損壞,DR28燒，IGBT炸,"DR28燒毀,IGBT炸裂"
CND-通訊不上,CN6通訊異常,SPS電容鼓包,SPS電容鼓包,DR28燒，IGBT擊穿,"DR28燒毀,IGBT擊穿"
CND-通訊异常,CN6通訊異常,SS400876504,SS400876504,"DR39,DD13噴膠前掉件","DR39,DD13噴膠前掉件"
CND-通訊异常 AL1200,CND-AL1200,S和L1相端子螺絲損壞,"S,L1端子螺絲損壞",DR42/DR45散熱不良,"DR42,DR45散熱不良"
CND-無法定位電機位置,CND-無法定位電機位置,S相端子螺絲進退困難,"S端子_螺絲滑牙,無法進退",DR42炸，DD22擊穿，IGBT炸，軟起電阻燒壞,"DR42炸裂,DD22擊穿,IGBT炸裂,軟起電阻燒毀"
CND-溫度過高,CND-溫度過高,S相端子螺絲損壞,S端子_螺絲損壞,DR42炸，IGBT炸，V BUS電壓偵測異常，5VD_GD短路,"DR42炸裂,IGBT炸裂,V BUS電壓偵測異常,5VD_GDSHORT"
CND-輸出扭力不够,CND-輸出扭力不够,"S相端子螺絲滑牙,無法進退","S端子_螺絲滑牙,無法進退",DR45炸，DD22/DD23擊穿，IGBT com對PIN5短路，P對W短路,"DR45炸裂,DD22,DD23擊穿,IGBT com對PIN5SHORT,P對WSHORT"
"CND-鐳射焊錫偏移碳化(與本次客退無關,對策前)","CND-鐳射焊錫偏移碳化(與本次客退無關,對策前)",S相端子螺絲鎖附時有阻力,"S端子_螺絲滑牙,無法進退",DR45炸，IGBT炸,"DR45炸裂,IGBT炸裂"
CND-驅動异常,CND-驅動異常,S相螺紋滑牙,S端子_螺絲滑牙,DR4和DT1打火，DT1 PIN1和PIN2 Open，DR1開裂損壞，DD1擊穿，DU2擊穿,"DR4和DT1打火,DT1 PIN1和PIN2 OPEN,DR1開裂損壞,DD1擊穿,DU2擊穿"
CND-驅動器無方向,CND-驅動器無方向,S相螺絲無法旋入旋出,"S端子_螺絲滑牙,無法進退",DR53損壞,DR53損壞
CONNECTOR端子DJ1、J5粘膠,"CONNECTOR端子DJ1,J5粘膠",S相螺絲損壞,S端子_螺絲損壞,DR58/DR42炸，DD22擊穿，IGBT炸，軟起電阻燒壞,"DR58,DR42炸裂,DD22擊穿,IGBT炸裂,軟起電阻燒毀"
C相無輸出,C相端子無輸出,s項螺絲滑牙,S端子_螺絲滑牙,DR58-OPEN，DD22擊穿，IGBT擊穿,"DR58 OPEN,DD22擊穿,IGBT擊穿"
C相端子螺絲損壞,C相端子螺絲損壞,S滑絲,S端子_螺絲滑牙,DR58和DR45炸，軟起電阻DR28燒，IGBT炸,"DR58,DR45炸裂,軟起電阻DR28燒毀,IGBT炸裂"
c與短路換上蓋,C相端子與SHORT換上蓋,S端子螺絲損壞,S端子_螺絲損壞,DR58炸,DR58炸裂
C點滑牙,C相端子滑牙,S端子螺絲滑牙,S端子_螺絲滑牙,DR58炸，DC45燒，IGBT炸，整流子DD22擊穿，DU2，DU5擊穿,"DR58炸裂,DC45燒毀,IGBT炸裂,整流子DD22擊穿,DU2,DU5擊穿"
"D01一直有輸出,報警AL001跳閘",AL001,s端滑絲,S端子_螺絲滑牙,DR58炸，DD22擊穿，IGBT炸,"DR58炸裂,DD22擊穿,IGBT炸裂"
"D01一直有輸出,接地螺絲擰不緊,CN4無法連接,端子滑牙,找不到站號、CN6通訊不上、CN1沒螺絲無法固定、報警、無顯示","CN1異常,CN6異常,CN4異常","S銅箔熔斷,DD22整流子R-P之間跳火,S引腳處有熱熔痕跡","S銅箔熔斷,DD22整流子R-P之間跳火,S引腳處有熱熔痕跡",DR58炸，DD22擊穿，IGBT炸裂,"DR58炸裂,DD22擊穿,IGBT炸裂"
D02一直有輸出,DO2異常,S螺絲外力損壞,S端子_螺絲損壞,DR58炸，DR28燒，IGBT炸,"DR58炸裂,DR28燒,IGBT炸裂"
D05壞,DO5異常,"Txx62569批次客退,非品質問題","Txx62569批次客退,非品質問題",DR58炸，DVAR1與DD22相連銅箔炸斷,"DR58炸裂,DVAR1與DD22相連銅箔炸裂斷"
D3損壞,D03損壞,Txx62569批次問題,Txx62569批次問題,DR58炸，IGBT炸,"DR58炸裂,IGBT炸裂"
D50、D51未移除,"D50,D51未移除",Txx62569風險週期內的產品,Txx62569風險週期內的產品,DR58炸，IGBT炸，,"DR58炸裂,IGBT炸裂"
D50反向阻抗异常,D50阻抗值異常,Txx62569問題,Txx62569問題,DR58炸，IGBT炸，DC17電容鼓包,"DR58炸裂,IGBT炸裂,DC17電容鼓包"
D50阻抗10kohm（正常為open）,D50阻抗10kohm（正常為OPEN）,Txx62569問題批次退回,Txx62569問題批次退回,"DR58炸，IGBT炸,DD22,DD23擊穿","DR58炸裂,IGBT炸裂,DD22,DD23擊穿"
D50阻抗值异常,D50阻抗值異常,Txx62569集中損壞問題,Txx62569集中損壞問題,DR58炸，IGBT炸，DD22、DD23、DQ2擊穿,"DR58炸裂,IGBT炸裂,DD22,DD23,DQ2擊穿"
D51、D52反向阻抗异常,"D51,D52反向阻抗异常",T相端子螺絲損壞,T端子_螺絲損壞,DR58炸，IGBT炸，DD22擊穿,"DR58炸裂,IGBT炸裂,DD22擊穿"
D51-D55未移除,D51~D55未移除,"T相螺絲打滑,螺母隨著螺絲轉動","T端子_螺絲打滑,螺母隨著螺絲轉動",DR58炸，IGBT炸，DR28燒,"DR58炸裂,IGBT炸裂,DR28燒毀"
D51軟擊穿,D51軟擊穿,T螺絲外力損壞,T端子_螺絲損壞,DR58炸，IGBT炸，DR28燒壞,"DR58炸裂,IGBT炸裂,DR28燒毀"
D54損壞,D54損壞,"U,V上下橋擊穿,IPM背面炸裂開","U,V上下橋擊穿,IPM背面炸裂開",DR58炸，IGBT炸，DU2擊穿,"DR58炸裂,IGBT炸裂,DU2擊穿"
"DC3,DC52、DC53電容鼓包","DC3,DC52,DC53電容鼓包",U、W阻值异常,"U,W阻值异常",DR58炸，IGBT炸，面板顯示异常,"DR58炸裂,IGBT炸裂,面板顯示異常"
"DC3、DC52,DC53鼓包,DR28燒,銅箔炸","DC3,DC52,DC53鼓包,DR28燒毀,銅箔炸",U12 PIN9~PIN11之間阻抗為10kohm異常,"U12,PIN9~PIN11之間阻抗為10kohm異常",DR58炸，IGBT炸，整流子DD22、DD23擊穿，銅箔翹皮，5VD_GD短路，V bus電壓偵測異常,"DR58炸裂,IGBT炸裂,整流子DD22,DD23擊穿,銅箔翹皮,5VD_GDSHORT,V bus電壓偵測異常"
"DC3、DC52鼓包,銅箔炸","DC3,DC52鼓包,銅箔炸",U14 PIN10、PIN12擊穿,"U1,PIN10,PIN12擊穿",DR58炸，IGBT炸，整流子DD22擊穿,"DR58炸裂,IGBT炸裂,整流子DD22擊穿"
DC3、DC53鼓包,"DC3,DC53鼓包",U1偶發報警AL001,U1偶發報警AL001,DR58炸，IGBT炸，整流子DD23、DD22擊穿，DU2擊穿,"DR58炸裂,IGBT炸裂,整流子DD23,DD22擊穿,DU2擊穿"
DC3、DC82、DC83、DC84鼓包,"DC3,DC82,DC83,DC84鼓包",U1軟擊穿,U1軟擊穿,DR58炸，IGBT炸，整流子DD23炸，DD22擊穿，DR1 Open，DD1擊穿,"DR58炸裂,IGBT炸裂,整流子DD23炸裂,DD22擊穿,DR1 OPEN,DD1擊穿"
DC3和DC82電容鼓包,"DC3,DC82電容鼓包","U21 DP,DM對GND短路","U21 DP,DM對GND SHORT",DR58炸，IGBT炸，整流子炸,"DR58炸裂,IGBT炸裂,整流子炸裂"
DC3炸,DC3炸,U21 燒壞,U21燒毀,DR58炸，IGBT炸、DD22擊穿,"DR58炸裂,IGBT炸裂,DD22擊穿"
"DC3炸,回生電阻open","DC3炸,回生電阻OPEN",U21損壞,U21損壞,DR58炸，IGBT炸裂，DR28燒壞,"DR58炸裂,IGBT炸裂裂,DR28燒毀"
DC3電容鼓包,DC3電容鼓包,"U21燒壞,3.3V和1.2V短路","U21燒毀,3.3V和1.2V SHORT",DR58炸，IGBT擊穿,"DR58炸裂,IGBT擊穿"
"DC3電容鼓包,DR1電阻開裂open,DD1的擊穿","DC3電容鼓包,DR1電阻開裂OPEN,DD1的擊穿","U21燒壞,5V、3.3V和1.2V短路","U21燒毀,5V、3.3V和1.2V SHORT",DR58炸，IGBT擊穿，DZD6擊穿，整流子DD22擊穿，附近銅箔燒斷,"DR58炸裂,IGBT擊穿,DZD6擊穿,整流子DD22擊穿,附近銅箔燒斷"
"DC3電容鼓包,DVAR1,DVAR2炸開,DR1開裂,DQ2擊穿,IGBT擊穿","DC3電容鼓包,DVAR1,DVAR2炸開,DR1開裂,DQ2擊穿,IGBT擊穿",U25 PIN13、14開路,U25 PIN13、14開路,DR58炸，IGBT擊穿，刹車晶體擊穿，relay壞，軟起電阻開路,"DR58炸裂,IGBT擊穿,刹車晶體擊穿,relay壞,軟起電阻開路"
"DC3電容鼓包,壓敏電阻DVAR1,DVAR2炸開","DC3電容鼓包,壓敏電阻DVAR1,DVAR2炸開",U25損壞,U25損壞,DR58炸，IGBT擊穿，軟起電阻炸,"DR58炸裂,IGBT擊穿,軟起電阻炸裂"
"DC3電容鼓包,壓敏電阻DVAR3炸開","DC3電容鼓包,壓敏電阻DVAR3炸開",U25燒壞,U25燒毀,DR58炸，IGBT擊穿，整流子打火,"DR58炸裂,IGBT擊穿,整流子打火"
DC3鼓包,DC3鼓包,U28錫短,U28錫短,DR58炸，IGBT擊穿，整流子擊穿,"DR58炸裂,IGBT擊穿,整流子擊穿"
"DC3鼓包,DR1開路","DC3鼓包,DR1開路",U2燒壞,U2燒毀,DR58炸，IGBT壞，DZD7短路，驅動光耦PIN4~PIN6短路,"DR58炸裂,IGBT壞,DZD7 SHORT,驅動光耦PIN4~PIN6 SHORT"
"DC3鼓包,DR1過熱損壞","DC3鼓包,DR1過熱損壞",U33 output端3.3V輸出端只有1.2左右輸出,U33 OUTPUT端3.3V輸出端只有1.2左右輸出,DR58炸，IGBT壞，DZD7短路，驅動光耦PIN4~PIN6短路，DC64和DR57燒黑，DZD4燒壞,"DR58炸裂,IGBT壞,DZD7 SHORT,驅動光耦PIN4~PIN6 SHORT,DC64和DR57燒毀,DZD4燒毀"
"DC3鼓包,DTB1有打火,J3表面受熱,DD1擊穿,DR1燒","DC3鼓包,DTB1有打火,J3表面受熱,DD1擊穿,DR1燒毀","U42Txx 5V,1.2V對GND短路","U42,Txx 5V,1.2V對GND SHORT",DR58炸，IGBT壞，DZD7短路，驅動光耦PIN4-PIN6短路,"DR58炸裂,IGBT壞,DZD7 SHORT,驅動光耦PIN4-PIN6 SHORT"
"DC3鼓包,IGBT U上橋擊穿","DC3鼓包,IGBT,U上橋擊穿",U42擊穿,U42擊穿,DR58炸，IGBT壞，軟起電阻和relay燒壞，DZD7短路，驅動光耦PIN4~PIN6短路。,"DR58炸裂,IGBT壞,軟起電阻和relay燒毀,DZD7 SHORT,驅動光耦PIN4~PIN6 SHORT。"
