合併正規化值,正規化
斷電自動復位退料,斷電自動複位退料
"更換交流接觸器後,工作一段時間報警056","更換交流接觸器後,工作一段時間報警AL056"
有一個按鈕缺失,按鍵缺失
有一個按鍵是壞的,按鍵損壞
有個螺絲滑牙了,螺絲滑牙
有時上電不顯示,上電後異常
"有時有顯示,有時無顯示",有時無顯示
有時黑屏,有時無顯示
"有污染腐蝕,DQ2短路,回生電阻OPEN,U33短路,DR4炸","有污染腐蝕,DQ2短路,回生電阻OPEN,U33短路,DR4炸裂"
有異物粘在IGBTpin腳上,有異物粘在IGBTPIN脚上
"有鐵屑污染導致DQ2剎車晶體損壞,回生電阻OPEN","有鐵屑污染導致DQ2刹車晶體損壞,回生電阻OPEN"
"未使能,6號報警",未使能AL006
"未接馬達報001,要求換新機",未接馬達報警AL001
未能重現故障,未能重現異常
板子燒燬,板子燒毀
"極偶爾出現過無顯示的狀況,後續無法重現","極偶爾出現過無顯示的狀况,後續無法重現"
檢出器輸出脈波數設定錯誤,檢出器輸出脉波數設定錯誤
"檢查剎車放電正常,測試機測試pass,測試EtherCat功能正常,帶馬達高低速運轉正常,CND","檢查刹車放電正常,測試機測試Pass,測試EtherCat功能正常,帶馬達高低速運轉正常,CND"
檢查正常,檢測正常
檢測,檢查維修
檢測正常檢測正常,檢測正常
檢測維修,檢查維修
"正常使用中,突然就壞了",正常使用過程中壞
"正常使用中,輸入點R.S點燒壞","正常使用中,輸入點R.S點燒毀"
"正常使用的情況下,按鍵壞,品質問題","正常使用的情况下,按鍵壞,品質問題"
正常顯示,"正常顯示,功能正常使用"
"正常顯示,無異常","正常顯示,功能正常使用"
"死機,按按鈕無反應",死機
"殘餘樹脂使clamp 夾住lead fame時,造成frame滑動而拉扯到wire bond的線","殘餘樹脂使clamP 夾住lead fame時,造成frame滑動而拉扯到wire bond的線"
污染,異物污染
"沒有數顯,啓動電機,迴轉發燙","沒有數顯,啓動電機,回轉發燙"
沒有發送脈衝,沒有發送脉衝
沒有脈衝輸出,沒有脉衝輸出
沒有顯示 需要檢測報告,"沒有顯示,需要檢測報告"
"油污,IGBT及DR58損壞","油污污染,IGBT及DR58損壞"
測試probe導致pad crack,測試Probe導致Pad crack
滑牙,螺絲滑牙
滑牙（R),螺絲滑牙
滑絲,螺絲滑牙
滿載對託功能正常,滿載對托功能正常
漏電,漏電跳閘
"漏電,上電聲音大",上電後異常
"漏電,報001","漏電跳閘,AL001"
炸機,炸裂機
炸機 整流,"炸裂機,整流"
"炸機,整流子擊穿,銅箔燒壞,按鍵失效","炸裂機,整流子擊穿,銅箔燒毀,按鍵失效"
炸機嚴重,炸裂機
無信號,無法通訊
無反應,無法正常工作
無反應或找不到站號,無法正常工作
無反饋,無法正常工作
無失效現象,無異常
無數字顯示,顯示異常
無法使用,無法正常工作
無法寫入參數,無法導入參數
"無法正常使用,待檢測",無法正常工作
無法正常運行,無法正常工作
無法燒錄,無法燒毀錄
"無法通訊,需要檢測報告",無法通訊
無法連接,無法通訊
無法運行,無法正常工作
無法開機燒保險,無法開機燒毀保險
無法顯示,顯示異常
無法顯示;,顯示異常
無法顯示;上電無顯示,顯示異常
無法顯示;上電無顯示;,顯示異常
無法顯示;整機炸機;,"顯示異常,炸裂機"
無法顯示上電無顯示,上電無顯示
無脈衝輸出,無脉衝輸出
"無規律的報警AL048,AL007","無規律的報警AL048, AL007"
無輸出動力,無輸出
無通訊,無法通訊
無零件損壞,無損壞
無顯示,顯示異常
"無顯示,但是過段時間又有顯示了",顯示異常
"無顯示,低阻抗","顯示異常,低阻抗"
"無顯示,更新韌體後正常","顯示異常,更新韌體後正常"
"無顯示,機內粉塵多,剎車晶體壞","顯示異常,機內粉塵多,刹車晶體壞"
"無顯示,炸機","顯示異常,炸裂機"
無顯示無輸出,顯示異常
無顯示面板保護蓋,顯示異常
燈不亮,燈不顯示
燒了,燒毀
"燒了,電容炸了",燒毀
燒壞,燒毀
"燒壞,上電炸一下火花,報警AL001",AL001
"燒壞,風扇不轉,報警P10",ALP10
燒壞/上電無顯示/剎車點位有問題/警告無法消除/報警001/不通電/報AL006/DOH一直有輸出,"AL001,AL006"
燒壞漏電,燒毀
燒壞無顯示,燒毀
燒掉,燒毀
燒機,燒毀
"燒毀,不顯示",燒毀
燒火,燒毀
燒燬了 不工作,燒毀錄失敗
燒錄不了,燒毀
燒錄失敗,燒毀
現場報86,AL086
產品只有軟啟電阻和relay損壞,産品只有軟啓電阻和relay損壞
產品帶馬達運轉正常,帶馬達運轉正常
"產品帶馬達運轉正常,檢查剎車放電正常,CND","帶馬達運轉正常,檢查剎車放電正常,CND"
"產品帶馬達運轉正常,測試測試PASS,CND","帶馬達運轉正常,測試測試PASS,CND"
產品測試機測試正常,帶馬達運轉正常
異常報警AL006,AL006
異物掉落在排pin上,異物掉落在排Pin上
"當驅動器不運行時,CN4通訊正常,當驅動器運行時,CN4通訊造成FX-5U PLC的485端口燒壞。電腦USB接口也燒壞,造成整機漏保電源開關跳脫。","當驅動器不運行時,CN4通訊正常,當驅動器運行時,CN4通訊造成FX~5U PLC的485端口燒毀電腦USB接口也燒毀,造成整機漏保電源開關跳脫"
發脈衝不執行,發脉衝無反應
發脈衝只有一個方向,發脉衝只有一個方向
發脈衝沒反應,發脉衝無反應
發脈衝無反應,發脉衝無反應
短路,SHORT
短路引起跳閘,SHORT
"硬件問題,某個模塊有問題收不到PLC發送的脈衝信號","硬件問題,某個模塊有問題收不到PLC發送的脉衝信號"
"移除了Q11,R260電阻,為對策後的產品","移除了Q11,R260電阻,爲對策後的産品"
程式燒錄失敗,程式燒毀錄失敗
端子T螺絲壞,T端子_螺絲滑牙
端子壞了,端子異常
端子排R螺絲滑牙,R端子_螺絲滑牙
端子插不進,端子異常
"端子粘膠,DR1燒壞,DC3底部trace燒壞","端子粘膠,DR1燒毀,DC3底部trace燒毀"
端子鈑金座與NUT偏心,端子鈑金座與NUT偏位
第一個螺絲位置擰不下去,第一個螺絲滑牙
"第一次L1L2上電顯示正常,控制板單獨上電5V,3.3V,1.2V均正常,C20 3.4Mohm,C21 2.8Mohm,第二次L1L2上電伺服伺服無顯示,內部冒煙,U42擊穿","第一次L1L2上電顯示正常,控制板單獨上電5V,3.3V,1.2V均正常,C20 3.4Mohm,C21 2.8Mohm,第二次L1L2上電伺服伺服無顯示,內部冒烟,U42擊穿"
"第一次上電顯示正常,第二次上電無顯示,產品返回吳江反饋上電幾十次顯示都是正常,不良現象無法重現","第一次上電顯示正常,第二次上電無顯示,産品返回吳江反饋上電幾十次顯示都是正常,不良現象無法重現"
第二個螺絲孔滑牙,第二個螺絲滑牙
"第二個螺絲滑牙,擰不出",第二個螺絲滑牙
第二顆螺絲滑牙了,第二個螺絲滑牙
"粉塵污染導致DQ2炸,DD23擊穿,DD15炸,DJ4跳火,回生電阻OPEN","粉塵污染導致DQ2炸裂,DD23擊穿,DD15炸裂,DJ4跳火,回生電阻OPEN"
約5分鐘左右死機,死機
"網口ERR變紅,不斷反覆","網口異常,ERR變紅,不斷反復"
"網口不通訊,指示燈不亮","網口異常,不通訊,指示燈不亮"
網口接觸不良,"網口異常,接觸不良"
網口故障,網口異常
網口通訊不上,"網口異常,通訊不良"
網口通訊接觸不好,"網口異常,通訊接觸不好"
"網口針腳歪斜,接觸不良","網口異常,針脚歪斜,接觸不良"
網絡通訊異常,"網口異常,通訊不良"
"網線端口,通訊連不上","網口異常,通訊不良"
線圈燒,線圈燒毀
編碼器報警AL011,AL011
編碼器接口接觸不良,編碼器異常
編碼器故障,編碼器異常
編碼器無反饋,"編碼器異常,無反饋"
編碼器線驅動器端的金屬殼導致驅動器報AL006,AL006
"編碼器輸出沒反饋,有問題/新機",編碼器異常
編碼器電源短路.加急,"編碼器異常,電源短路.加急"
編碼接口壞,編碼器異常
缺少按鈕,缺按鍵
缺少配件,缺按鍵
"聲音端口異常,脈衝不良","聲音端口異常,脉衝不良"
脈衝口壞,脉衝口異常
脈衝口壞了,脉衝口異常
脈衝口故障,脉衝口異常
脈衝接口壞,脉衝口異常
脈衝方向無,脉衝方向無
脈衝有問題,脉衝口異常
脈衝異常,脉衝口異常
脈衝的輸入量和電機實際轉速不匹配,脉衝的輸入量和電機實際轉速不匹配
脈衝輸入口有問題,脈衝輸入異常
脈衝輸出無反應,脉衝輸出無反應
脈衝頻率輸出錯誤,脉衝頻率輸出錯誤
螺帽有損壞痕跡,螺帽損壞
"螺絲來料就有問題,需要申請換新機的",螺絲滑牙
螺絲打滑,螺絲滑牙
螺絲擰不緊,螺絲滑牙
螺絲斷,螺絲斷裂
螺絲滑平,螺絲滑牙
螺絲滑牙了,螺絲滑牙
螺絲滑絲,螺絲滑牙
螺絲滑開,螺絲滑牙
螺絲鈕不了,螺絲滑牙
螺絲頭滑牙,螺絲滑牙
裏面有螺絲,螺絲斷裂
請幫忙全面檢測,檢查維修
讀不出條碼,讀取異常
"讀取不出,C2接頭無反應",讀取異常
讀取不到ID,讀取異常
"變壓器DT1打火,IGBT PIN腳鐵屑污染","變壓器DT1打火,IGBT PIN脚鐵屑污染"
"變壓器底部打火,周邊有少量金屬屑,DU1損壞","變壓器底部打火,內部有金屬屑,DU1損壞"
"負載超100,無法下調,報錯ER006",AL006
"軟啟電阻DR28燒壞,DC83側邊鼓包","軟啟電阻DR28燒毀,DC83側邊鼓包"
軟啟電阻燒壞,軟起電阻燒毀
"軟啟電阻燒壞,IGBT U對P擊穿","軟起電阻燒毀,IGBT U對P擊穿"
軟起燒,軟起燒毀
"軟起燒,Relay pin腳燒熔,內部油漬污染嚴重","軟起電阻燒毀,Relay PIN脚燒毀熔,內部油漬污染嚴重"
"軟起電阻DR28燒,DR42炸,IGBT炸,整流子DD22,DD23擊穿","軟起電阻DR28燒毀,DR42炸裂,IGBT炸裂,整流子DD22,DD23擊穿"
"軟起電阻DR28燒,剎車晶體CE擊穿,剎車晶體底部有導電金屬絲","軟起電阻DR28燒毀,剎車晶體CE擊穿,剎車晶體底部有導電金屬絲"
"軟起電阻DR28燒壞,IGBT炸","軟起電阻DR28燒毀,IGBT炸裂"
"軟起電阻DR28燒壞,回聲電阻Open,銅箔燒壞","軟起電阻DR28燒毀,回聲電阻OPEN,銅箔燒毀"
"軟起電阻open,液體污染","軟起電阻OPEN,液體污染"
軟起電阻炸,軟起電阻炸裂
軟起電阻燒,軟起電阻燒毀
"軟起電阻燒,IGBT炸","軟起電阻燒毀,IGBT炸裂"
"軟起電阻燒,relay融損,DR58炸,IGBT單體量測：邊緣鎖裂,P對UV短路對W0.139VDC,N對W短路,對V特性異常0.152VDC","軟起電阻燒毀,relay融損,DR58炸裂,IGBT單體量測：邊緣鎖裂,P對UV短路對W0.139VDC,N對W短路,對V特性異常0.152VDC"
"軟起電阻燒,回生電阻過熱","軟起電阻燒毀,回生電阻過熱"
軟起電阻燒壞,軟起電阻燒毀
輪流報AL006/AL003,"AL003,AL006"
輸不了參數,輸入參數異常
"輸入,輸出壞","輸入異常,輸出異常"
輸入壞,輸入異常
輸入損壞,輸入異常
輸入炸壞,輸入異常
輸入短路,輸入端口短路
輸出TO點有問題,輸出TO異常
輸出壞,輸出異常
輸出故障,輸出異常
"輸出端U燒壞,面板接觸不良","輸出端U燒毀,面板接觸不良"
逆變模塊U/W對P短路,"逆變模塊U,W對P SHORT"
逆變短路,逆變SHORT
通信不上,通訊異常
通信不良,通訊異常
通信故障,通訊異常
通訊不上,通訊異常
"通訊不上總線,換上其他的是好的",通訊異常
通訊不暢,通訊異常
通訊不穩定,通訊異常
通訊不良,通訊異常
"通訊不良,無顯示,報警",通訊異常
通訊不良/無法解除剎車/無顯示/報警/電機自行下降,通訊異常
通訊不良/無顯示/報警,通訊異常
通訊斷,通訊異常
通訊時好時壞,通訊異常
"通訊正常,運轉正常",通訊正常
通訊異常 AL1200,"通訊異常,AL1200"
通訊連不上,通訊異常
通電一會就不顯示了,通電一段時間後重啟不顯示
通電一段時間後不顯示,通電一段時間後重啟不顯示
通電一段時間後死機,通電一段時間後重啟不顯示
"通電一段時間後死機,重啓後不顯示",通電一段時間後重啟不顯示
"通電一段時間後死機,重啟不顯示",通電一段時間後重啟不顯示
通電不亮,通電不顯示
通電但是不顯示,通電異常
通電冒煙,通電冒火花
通電和信號沒反映,通電不顯示
通電報AL09C,通電報警AL09C
通電就燒了,通電冒火花
通電屏幕不顯示,通電不顯示
"通電後死機,再通電無顯示",通電一段時間後重啟不顯示
"通電未顯示,/燒了,或通訊不良/掉線/報A2.02F,或W軸伺服通電無顯示","通電未顯示,,燒毀了,或通訊不良,掉線,報A2.02F,或W軸伺服通電無顯示"
通電沒反應,通電不顯示
通電沒有反應,通電不顯示
通電燒220V供電保險,通電燒毀220V供電保險
通電燒了,通電燒毀了
"通電移框時在抖動,換新一臺又正常","通電移框時在抖動,換新一台又正常"
通電顯示AL001,通電顯示AL006
通電顯示缺筆畫,通電顯示缺筆劃
連接不上電腦,連接異常
連接有問題,連接異常
連接電機異常,連接異常
運行2小時死機,運行約2小時死機
運行一會報警15,運行一段時間死機
"運行一會驅動無顯示,按鍵無反應","運行一段時間,報AL015"
運行一段時間死機,"運行一段時間,A02367:A2375報AL015"
"運行中報警01,時間不固定","運行中報AL001,時間不固定"
運行中報警85,運行中報AL085
"運行中燒起來,滅火後造成生鏽","運行中燒毀起來,滅火後造成生銹"
運行了2個小時就 黑屏,運行一段時間黑屏
運行會報警AL083,AL083
"運行約3分鐘左右報警AL001,重複ON/OFF有時顯示,有時無顯示","運行約3分鐘左右報警AL001,重複ON,OFF有時顯示,有時無顯示"
運行約半小時左右死機,運行約30分鐘左右死機
運行過程中出現黑屏,顯示異常
"運轉中報警AL003,無法運轉",AL003
過壓,過電報警
過壓過流,過壓
過流,過流報警
過流報警,過流
過載,過流報警
過電報警,AL001
過電壓,過電報警
過電流,過電報警
過電流報警AL001,過電報警
"還回條碼不一致,al006","還回條碼不一致,AL006"
"還回條碼不一致,上電沒反應","還回條碼不一致,上電後異常"
還回週轉機,還回周轉機
"量取U21 pin3與pin5阻抗異常為0.7Mohm,正常的阻抗在1.6Mohm","量取U21 PIN3與PIN5阻抗異常為0.7Mohm,正常的阻抗在1.6Mohm"
量測C21低阻抗2.1kΩ。正常為MΩ級別,量測C21低阻抗2.1kΩ正常為MΩ級別
"金屬屑污染,DR28燒,IGBT上橋U相CE擊穿","金屬屑污染,DR28燒毀,IGBT上橋U相CE擊穿"
"金屬屑進入,IGBT擊穿","金屬屑污染,IGBT擊穿"
"金屬屑進入,整流子擊穿","金屬屑污染,整流子擊穿"
金屬污染,金屬屑污染
金屬絲,金屬屑污染
針腳壞,針脚壞
"針腳無歪斜,通訊正常","針脚無歪斜,通訊正常"
針釦不能用,針扣不能用
"銅箔損壞,IGBT open,DR58炸","銅箔損壞,IGBT oPen,DR58炸裂"
"銅箔炸,DD22之間pin腳打火","銅箔損壞,DD22之間PIN腳打火"
"銘板脫落不見,mode按鍵損壞","銘板脫落不見,MODE按鍵損壞"
"銘板蓋缺失,UP,Shift按鍵缺失","銘板蓋缺失,UP,SHIFT按鍵缺失"
"銘牌和實際功率不一樣,需要檢測報告","銘板蓋和實際功率不一樣,需要檢測報告"
"銘闆闆蓋缺失,外觀無磕痕,使用時間爲0小時","銘板蓋缺失,外觀無磕痕,使用時間爲0小時"
錫珠導致間歇性斷電,錫渣導致間歇性斷電
錫短,錫渣短路
鎖不緊,螺絲滑牙
"鐵屑進入,IGBT擊穿","鐵屑污染,IGBT擊穿"
開機一會就報警,開機報警
開機報警085,"開機報警,AL085"
開機報警AL085或AL09F,"開機報警AL085,AL09F"
開機顯示黑屏,開機無顯示
零漂無法消除,過壓過流
零飄,零漂無法消除
電壓偵測不準,電壓偵測不准
"電壓偵測偵測異常,伺服報警AL085","電壓偵測異常,伺服報警AL085"
電容炸,電容異常
電容異常,電容炸裂
電機精準度不夠.需檢驗報告,電機精准度不够.需檢驗報告
電機自激震盪,電機自激震蕩
電流偵測異常,"電流平穩,功能正常"
"電流平穩,功能正常",電阻高蹺
"電流過大,無法使用",電流偵測異常
"電源板DR58炸,DD22擊穿,IGBT 單體量測,P對U短路,對W特性異常0.281vdc,N對U短路,com對5/7/9/10/11/12/16/17/2短路","電源板DR58炸裂,DD22擊穿,IGBT 單體量測,P對U短路,對W特性異常0.281vdc,N對U短路,com對5,7,9,10,11,12,16,17,2短路"
電源板多個元件受到腐蝕,電源板壞
"電源板：DT1打火,pin1和pin2 Open,DU1擊穿,整流子DD22擊穿,IGBT擊穿,DR300燒壞,控制板噴灰,電源系統全部損壞","電源板：DT1打火,PIN1和PIN2 OPEN,DU1擊穿,整流子DD22擊穿,IGBT擊穿,DR300燒毀,控制板噴灰,電源系統全部損壞"
電源螺絲打滑,電源_螺絲滑牙
電源螺絲滑牙,電源_螺絲滑牙
電源輸入壞,電源壞
電源輸入端R端螺絲鎖不緊,R端子_螺絲滑牙
電路板冒煙燒壞,電路板冒烟燒毀
電路板冒煙燒板或上電後顯示AL09F故障代碼,AL09F
"電阻R260應爲10KΩ,錯建爲0Ω（使其輸出電壓準位由3.3V被拉到GND）,該腳位與shift鍵控制Boot訊號,拉到GND造成以下問題",零飄
電阻高蹺,"電阻R260應爲10KΩ,錯建爲0Ω（使其輸出電壓準位由3.3V被拉到GND）,該脚位與SHIFT鍵控制Boot訊號,拉到GND造成以下問題"
"需要研發分析報告,報告故障現象:1.控制器使用50MC,正常運行過程中,控制器檢測到何服報警 。 驅動器上顯示正常,監控50MC軟件診斷顯示這臺驅動 報警AL,FFFF(運動控制器顯示),連接之後的驅","需要研發分析報告,報告故障現象:1.控制器使用50MC,正常運行過程中,控制器檢測到何服報警  驅動器上顯示正常,監控50MC軟件診斷顯示這台驅動 報警AL,FFFF(運動控制器顯示),連接之後的驅"
"靜置偶發報警AL001,重複ON/OFF有時顯示,有時無顯示","靜置偶發報警AL001,重複ON,OFF有時顯示,有時無顯示"
"靜置偶發報警AL001,重複ON/OFF有無顯示現象","靜置偶發報警AL001,重複ON,OFF有無顯示現象"
面板一直閃,面板異常
面板不亮,面板異常
面板不顯示,面板異常
面板不顯示可以復現,面板不顯示可以複現
"面板五個按鍵翹起,剎車電阻開路,帶馬達運轉正常","面板五個按鍵翹起,刹車電阻開路,帶馬達運轉正常"
面板壞,面板異常
面板數字不規則跳動,面板異常
"面板死機,C20/C21低阻抗","面板死機,C20,C21低阻抗"
面板燈不亮,面板異常
"面板蓋缺失,5VD短路（DPH9 PIN4-5-6短路）","面板蓋缺失,5VD短路（DPH9 PIN4~5~6短路）"
面板顯示異常,面板異常
面板顯示缺字,面板異常
韌體燒錄,韌體燒毀錄
顯示不全,顯示異常
"顯示不正常,自動跳",顯示異常
顯示不穩定,顯示異常
顯示亂碼,顯示異常
顯示和運轉正常,"顯示正常,運轉正常"
顯示器有數字不顯示,顯示異常
顯示報錯AL013警告停止輸出,"顯示異常,AL013"
顯示屏不亮,顯示異常
"顯示屏不亮,有焦味",顯示異常
顯示屏不定時閃,顯示異常
顯示屏不顯示,顯示異常
顯示屏壞了,顯示異常
顯示屏有問題,顯示異常
顯示屏有時正常有時顯示一半,顯示異常
顯示屏無顯示,顯示異常
顯示屏顯示不正常,顯示異常
"顯示故障,幫檢測",顯示異常
顯示有問題,顯示異常
"顯示正常,功能正常",顯示正常
"顯示正常,帶馬達運轉正常",顯示正常
顯示正常;馬達不轉,"顯示正常,馬達不轉"
"顯示異常,輸出DO1不受控","顯示異常,DO1異常"
顯示異常;,顯示異常
顯示異常;W螺絲滑牙,"顯示異常,W端子_螺絲滑牙"
顯示缺筆畫,顯示缺筆劃
"顯示缺筆畫,J10斷線","顯示缺筆劃,J10斷線"
顯示缺陷,顯示異常
驅動不亮,驅動器異常
驅動不帶負載上電報06過載,驅動器不帶負載上電報06過載
驅動不顯示,驅動器異常
"驅動不顯示,輸出不正常","驅動器異常,輸出異常"
驅動器5號針腳沒0V輸出,驅動器5號針脚沒0V輸出
驅動器上使不了使能,驅動器異常
驅動器上電沒顯示/有電源,驅動器上電無顯示
驅動器不亮,驅動器異常
驅動器不顯示,驅動器無顯示
"驅動器使能,電腦調試軟件斷線",驅動器異常
驅動器使能不上,驅動器異常
驅動器內部有東西被擊穿了,驅動器內部擊穿
"驅動器只能往一個方向走,驅動器我們也檢測了是脈衝方向問題","驅動器只能往一個方向走,驅動器檢測爲脉衝方向問題"
驅動器報F09,驅動器異常
驅動器帶電機有聲音,驅動器異響
驅動器沒有輸出,"驅動器異常,輸出異常"
"驅動器發脈衝出來,電機會卡頓,換一臺驅動器就好了",驅動器異常
驅動器短路,驅動器SHORT
"驅動器自帶了CN10,報警AL500","驅動器自帶CN10,報警AL500"
驅動器螺絲滑牙,驅動器_螺絲滑牙
驅動器通電顯示屏無顯示,驅動器上電無顯示
驅動器進水了,驅動器進水
驅動器運作的時 候偶爾會報警AL001,"驅動器損壞,報警AL001"
"驅動接觸不良,有時候有信號有時候沒信號 換1臺驅動器就沒有問題",驅動器異常
驅動無顯示,驅動器上電無顯示
驅動異常,驅動器異常
驅動異常撞機,"驅動器接觸不良,有時候有信號有時候沒信號 換1台驅動器就沒有問題"
驅動發脈衝電機不轉,驅動發脉衝電機不轉
黑屏,顯示異常
"黑屏,不顯示",顯示異常
"黑屏,內部線路板打火","顯示異常,內部線路板打火"
"黑屏,出測試報告","顯示異常,出測試報告"
"黑屏,批次問題,請換新","顯示異常,批次問題,請換新"
"黑屏,通訊不上","顯示異常,通訊不上"
黑屏/炸機,"顯示異常,炸裂機"
黑屏。不顯示,顯示異常
黑屏無顯示,顯示異常無顯示
點位燒壞,點位燒毀
"點動C軸機構伺服報006 009,線路電機沒問題","點動C軸機構伺服報AL006 009,線路電機正常"
